vaccine_time,vaccine_amount,lambda_v1,lambda_v2,second_dose_time,vaccine_type,dose_type,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
1/10/21,0.022678,0.8,0.9,21,1,2,0,0,0,0,19695.87,3359.2,5360.5,2326.7,10336.98,8094.76
1/11/21,0.001362,0.8,0.9,21,1,2,0,0,0,0,1183.18,201.8,322.02,139.77,620.97,486.27
1/12/21,0.000068,0.8,0.9,21,1,2,0,0,0,0,58.88,10.04,16.02,6.96,30.9,24.2
1/13/21,0.001359,0.8,0.9,21,1,2,0,0,0,0,1179.97,201.25,321.15,139.39,619.29,484.95
1/14/21,0.003048,0.8,0.9,21,1,2,0,0,0,0,2647.53,451.55,720.56,312.76,1389.5,1088.1
1/15/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
1/16/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
1/17/21,0.003781,0.8,0.9,21,1,2,0,0,0,0,3283.58,560.03,893.67,387.89,1723.32,1349.51
1/18/21,0.004099,0.8,0.9,21,1,2,0,0,0,0,3559.55,607.09,968.78,420.49,1868.16,1462.93
1/19/21,0.000607,0.8,0.9,21,1,2,0,0,0,0,527.5,89.97,143.57,62.31,276.85,216.8
1/21/21,0.002019,0.8,0.9,21,1,2,0,0,0,0,1753.14,299,477.14,207.1,920.1,720.52
1/22/21,0.001797,0.8,0.9,21,1,2,0,0,0,0,1560.48,266.15,424.71,184.34,818.99,641.34
1/23/21,0.002965,0.8,0.9,21,1,2,0,0,0,0,2575.23,439.22,700.89,304.22,1351.56,1058.39
1/24/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
1/25/21,0.002965,0.8,0.9,21,1,2,0,0,0,0,2575.23,439.22,700.89,304.22,1351.56,1058.39
1/26/21,0.000226,0.8,0.9,21,1,2,0,0,0,0,196.66,33.54,53.52,23.23,103.21,80.83
1/27/21,0.001848,0.8,0.9,21,1,2,0,0,0,0,1604.54,273.66,436.7,189.55,842.11,659.45
1/28/21,0.001536,0.8,0.9,21,1,2,0,0,0,0,544.58,821.01,148.21,568.66,700.22,548.33
1/29/21,0.002057,0.8,0.9,21,1,2,0,0,0,0,0,1647.17,0,1140.89,937.48,734.13
1/30/21,0.002057,0.8,0.9,21,1,2,0,0,0,0,0,1647.17,0,1140.89,937.48,734.13
1/31/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
2/1/21,0.002057,0.8,0.9,21,1,2,0,0,0,0,0,1647.17,0,1140.89,937.48,734.13
2/2/21,0.001026,0.8,0.9,21,1,2,0,0,0,0,0,821.8,0,569.21,467.72,366.27
2/3/21,0.001026,0.8,0.9,21,1,2,0,0,0,0,0,821.8,0,569.21,467.72,366.27
2/4/21,0.001433,0.8,0.9,21,1,2,0,0,0,0,0,1147.57,0,794.85,653.13,511.46
2/5/21,0.002489,0.8,0.9,21,1,2,0,0,0,0,0,1993.01,0,1380.43,1134.31,888.26
2/6/21,0.004071,0.8,0.9,21,1,2,0,0,0,0,0,3260.61,0,2258.42,1855.75,1453.22
2/7/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
2/8/21,0.004071,0.8,0.9,21,1,2,0,0,0,0,0,3260.61,0,2258.42,1855.75,1453.22
2/9/21,0.000689,0.8,0.9,21,1,2,0,0,0,0,0,551.81,0,382.2,314.06,245.93
2/10/21,0.001635,0.8,0.9,21,1,2,0,0,0,0,0,1309.71,0,907.15,745.41,583.72
2/11/21,0.001738,0.8,0.9,21,1,2,0,0,0,0,0,1392.26,0,964.33,792.39,620.51
2/12/21,0.001738,0.8,0.9,21,1,2,0,0,0,0,0,1392.26,0,964.33,792.39,620.51
2/13/21,0.003387,0.8,0.9,21,1,2,0,0,0,0,0,2712.5,0,1878.77,1543.8,1208.93
2/14/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
2/15/21,0.001805,0.8,0.9,21,1,2,0,0,0,0,0,1445.63,0,1001.3,822.77,644.3
2/16/21,0.000635,0.8,0.9,21,1,2,0,0,0,0,0,508.59,0,352.27,289.46,226.67
2/17/21,0.000731,0.8,0.9,21,1,2,0,0,0,0,0,585.79,0,405.74,333.4,261.08
2/18/21,0.000745,0.8,0.9,21,1,2,0,0,0,0,0,596.87,0,413.41,339.7,266.02
2/19/21,0.000561,0.8,0.9,21,1,2,0,0,0,0,0,449.62,0,311.42,255.9,200.39
2/20/21,0.000561,0.8,0.9,21,1,2,0,0,0,0,0,449.62,0,311.42,255.9,200.39
2/21/21,0.000561,0.8,0.9,21,1,2,0,0,0,0,0,449.62,0,311.42,255.9,200.39
2/22/21,0.000516,0.8,0.9,21,1,2,0,0,0,0,0,413.3,0,286.27,235.23,184.2
2/23/21,0.001526,0.8,0.9,21,1,2,0,0,0,0,0,1221.81,0,846.27,695.38,544.54
2/24/21,0.001841,0.8,0.9,21,1,2,0,0,0,0,0,1474.07,0,1021,838.96,656.98
2/25/21,0.001809,0.8,0.9,21,1,2,0,0,0,0,0,1448.59,0,1003.34,824.45,645.62
2/26/21,0.002146,0.8,0.9,21,1,2,0,0,0,0,0,1718.58,0,1190.35,978.12,765.95
2/27/21,0.005807,0.8,0.9,21,1,2,0,0,0,0,0,4650.66,0,3221.21,2646.89,2072.74
2/28/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
3/1/21,0.005807,0.8,0.9,21,1,2,0,0,0,0,0,4650.66,0,3221.21,2646.89,2072.74
3/2/21,0.00243,0.8,0.9,21,1,2,0,0,0,0,0,1945.73,0,1347.68,1107.4,867.19
3/3/21,0.008341,0.8,0.9,21,1,2,0,0,0,0,0,6680.41,0,4627.1,3802.11,2977.38
3/4/21,0.002819,0.8,0.9,21,1,2,0,0,0,0,0,2257.46,0,1563.6,1284.82,1006.12
3/5/21,0.001146,0.8,0.9,21,1,2,0,0,0,0,0,945.16,0,654.65,496.33,388.67
3/6/21,0.003276,0.8,0.9,21,1,2,0,0,0,0,0,2946.3,0,2040.71,1186.71,929.29
3/7/21,0.006809,0.8,0.9,21,1,2,0,0,0,0,0,6119.37,0,4238.5,2470.99,1935.01
3/8/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
3/9/21,0.004844,0.8,0.9,21,1,2,0,0,0,0,0,4352.04,0,3014.38,1759.31,1377.69
3/10/21,0.013785,0.8,0.9,21,1,2,0,0,0,0,0,13775.35,0,9554.63,3678.91,2880.94
3/11/21,0.005683,0.8,0.9,21,1,2,0,0,0,0,0,6154.29,0,3229.43,1647.86,1290.42
3/12/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
3/13/21,0.018816,0.8,0.9,21,1,2,0,0,0,0,0,19096.15,0,10909.72,6053.06,4740.07
3/14/21,0.00596,0.8,0.9,21,1,2,0,0,0,0,0,6761.51,0,3647.5,1410.47,1104.52
3/15/21,0.005028,0.8,0.9,21,1,2,0,0,0,0,0,5794.29,0,3025.43,1167.8,914.49
3/16/21,0.005523,0.8,0.9,21,1,2,0,0,0,0,0,6316.86,0,3114.29,1426.66,1117.2
3/17/21,0.006015,0.8,0.9,21,1,2,0,0,0,0,6745.57,0,2510.28,1089.58,1512.86,1184.7
3/18/21,0.005329,0.8,0.9,21,1,2,0,0,0,0,5942.51,0,2295.95,996.55,1301.11,1018.88
3/19/21,0.00612,0.8,0.9,21,1,2,0,0,0,0,6558.22,0,2804.7,1217.37,1508.46,1181.25
3/20/21,0.006598,0.8,0.9,21,1,2,0,0,0,0,6967.22,0,3350.01,1454.06,1421.53,1113.18
3/21/21,0.003126,0.8,0.9,21,1,2,0,0,0,0,0,0,6778.29,0,0,0
3/22/21,0.006484,0.8,0.9,21,1,2,0,0,0,0,10760.86,0,0,0,1850.08,1448.77
3/23/21,0.002203,0.8,0.9,21,1,2,0,0,0,0,0,0,4776.86,0,0,0
3/24/21,0.006242,0.8,0.9,21,1,2,0,0,0,0,7730.57,0,4126.21,0,941.38,737.18
3/25/21,0.005602,0.8,0.9,21,1,2,0,0,0,0,6025.64,0,4748.07,0,769.53,602.61
3/26/21,0.005658,0.8,0.9,21,1,2,0,0,0,0,7638.22,0,1693.43,0,1646.42,1289.29
3/27/21,0.002089,0.8,0.9,21,1,2,0,0,0,0,3615.29,0,0,0,512.75,401.53
3/28/21,0.002865,0.8,0.9,21,1,2,0,0,0,0,0,0,6212.21,0,0,0
3/29/21,0.007415,0.8,0.9,21,1,2,0,0,0,0,10951.64,0,2719,0,1350.55,1057.6
3/30/21,0.003571,0.8,0.9,21,1,2,0,0,0,0,4697,0,1922,0,630.37,493.63
3/31/21,0.004203,0.8,0.9,21,1,2,0,0,0,0,4761,0,3452.64,0,504.74,395.26
4/1/21,0.007244,0.8,0.9,21,1,2,0,0,0,0,11993.93,0,2512.86,0,673.79,527.64
4/2/21,0.005852,0.8,0.9,21,1,2,0,0,0,0,9555.57,0,2259.43,0,490.48,384.09
4/3/21,0.00451,0.8,0.9,21,1,2,0,0,0,0,8894.29,0,0,0,496.49,388.79
4/4/21,0.00185,0.8,0.9,21,1,2,0,0,0,0,0,0,4011.15,0,0,0
4/5/21,0.009412,0.8,0.9,21,1,2,0,0,0,0,14442.44,0,2315.86,0,2046.69,1602.73
4/6/21,0.006465,0.8,0.9,21,1,2,0,0,0,0,9733.57,0,2411.43,0,1050.18,822.38
4/7/21,0.006299,0.8,0.9,21,1,2,0,0,0,0,9460.29,0,3234.64,0,539.67,422.61
4/8/21,0.008868,0.8,0.9,21,1,2,0,0,0,0,14878.93,0,2936.29,0,792.68,620.74
4/9/21,0.007834,0.8,0.9,21,1,2,0,0,0,0,11314.86,0,4275.5,0,782.83,613.02
4/10/21,0.009904,0.8,0.9,21,1,2,0,0,0,0,16550.51,0,2552.64,0,1329.71,1041.28
4/11/21,0.00719,0.8,0.9,21,1,2,0,0,0,0,13010.93,0,1402.86,0,660.33,517.1
4/12/21,0.003665,0.8,0.9,21,1,2,0,0,0,0,6008.57,0,1456.43,0,270.64,211.93
4/13/21,0.004556,0.8,0.9,21,1,2,0,0,0,0,6361.29,0,2804.64,0,399.47,312.82
4/14/21,0.005596,0.8,0.9,21,1,2,0,0,0,0,10884.93,0,0,0,700.15,548.28
4/15/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
4/16/21,0.063245,0.8,0.9,21,1,2,0,0,0,0,81911.59,0,36169.87,0,10686.26,8368.28
4/17/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
4/18/21,0.011066,0.8,0.9,21,1,2,0,0,0,0,17812.93,0,4616.64,0,877.37,687.06
4/19/21,0.003939,0.8,0.9,21,1,2,0,0,0,0,6919.57,0,1245.86,0,210.07,164.5
4/20/21,0.002272,0.8,0.9,21,1,2,0,0,0,0,3444.93,0,976.64,0,282.89,221.53
4/21/21,0.004794,0.8,0.9,21,1,2,0,0,0,0,7735.29,0,1644.43,0,568.84,445.45
4/22/21,0.005248,0.8,0.9,21,1,2,0,0,0,0,8536.29,0,2026.43,0,457.79,358.49
4/23/21,0.004761,0.8,0.9,21,1,2,0,0,0,0,7767.15,0,1824.72,0,410.04,321.1
4/24/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
4/25/21,0.009334,0.8,0.9,21,1,2,0,0,0,0,14577.44,0,4058.15,0,898.68,703.74
4/26/21,0.002183,0.8,0.9,21,1,2,0,0,0,0,3645.57,0,834.86,0,141.65,110.92
4/27/21,0.002496,0.8,0.9,21,1,2,0,0,0,0,4070.57,0,952.86,0,217.92,170.65
4/28/21,0.002917,0.8,0.9,21,1,2,0,0,0,0,4624.57,0,1230.86,0,263.35,206.22
4/29/21,0.003832,0.8,0.9,21,1,2,0,0,0,0,6237.93,0,1499.64,0,319.91,250.52
4/30/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
5/1/21,0.007821,0.8,0.9,21,1,2,0,0,0,0,12160.93,0,3306.64,0,836.43,655
5/2/21,0.00149,0.8,0.9,21,1,2,0,0,0,0,2345.64,0,673.21,0,118.97,93.17
5/3/21,0.001498,0.8,0.9,21,1,2,0,0,0,0,2476,0,605,0,94.22,73.78
5/4/21,0.000945,0.8,0.9,21,1,2,0,0,0,0,1539.64,0,367.21,0,79.16,61.99
5/5/21,0.003037,0.8,0.9,21,1,2,0,0,0,0,5177.06,0,1409.01,0,0,0
5/6/21,0.001910113,0.8,0.9,21,1,2,0,0,0,150.4137529,0,2406.620047,0,685.37,505.0376101,395.4884899
5/7/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
5/8/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
5/9/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
5/10/21,0.007751638,0.8,0.9,21,1,2,0,0,0,720.0337824,8520.540518,3000,0,3235.8584,746.7763759,584.7910241
5/11/21,0.00159248,0.8,0.9,21,1,2,0,0,0,154.4286588,2470.858541,0,0,565.4292,147.0952175,115.1883825
5/12/21,0.002060585,0.8,0.9,21,1,2,0,0,0,177.7315176,2843.704282,0,0,800.1459,362.5275862,283.8907138
5/13/21,0.002422156,0.8,0.9,21,1,2,0,0,0,372.0553471,3584.885553,0,890.6479,0,226.8039382,177.6072618
5/14/21,0.002107165,0.8,0.9,21,1,2,0,0,0,299.5044706,3112.071529,0,821.5318,0,188.3767655,147.5154345
5/15/21,0.003246298,0.8,0.9,21,1,2,0,0,0,1882.143645,3536.937318,0,1096.0749,0,293.7849584,230.0592416
5/16/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
5/17/21,0.009944123,0.8,0.9,21,1,2,0,0,0,5815.668608,11449.39059,0,2982.2471,0,737.3131259,577.3804741
5/18/21,0.003119471,0.8,0.9,21,1,2,0,0,0,2167.457309,3203.234918,0,900.5776,0,276.3355034,216.3947966
5/19/21,0.004992815,0.8,0.9,21,1,2,0,0,0,3674.227555,5004.783059,0,1429.0288,0,402.6502453,315.3102547
5/20/21,0.004762221,0.8,0.9,21,1,2,0,0,3071.628855,100,4946.877365,0,1429.8288,0,436.1340255,341.5309745
5/21/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
5/22/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
5/23/21,0.012963516,0.8,0.9,21,1,2,0,0,7736.299607,0,14589.77195,0,3957.8852,0,1023.529974,801.5132256
5/24/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
5/25/21,0.005651852,0.8,0.9,21,1,2,0,0,3632.811943,0,6270.786447,0,1640.3986,0,398.748361,312.254739
5/26/21,0.003005558,0.8,0.9,21,1,2,0,0,1445.867649,0,3618.888941,0,976.0841,0,267.0420151,209.1171849
5/27/21,0.001829045,0.8,0.9,21,1,2,0,0,970.6138194,0,2175.606871,0,558.0253,0,146.768649,114.932651
5/28/21,0.001829045,0.8,0.9,21,1,2,0,0,970.6138253,0,2175.606965,0,558.0253,0,146.768649,114.932651
5/29/21,0.001829045,0.8,0.9,21,1,2,0,0,970.6138294,0,2175.606871,0,558.0253,0,146.7687051,114.9326949
5/30/21,0.001829045,0.8,0.9,21,1,2,0,0,970.6138253,0,2175.606965,0,558.0253,0,146.768649,114.932651
5/31/21,0.001829045,0.8,0.9,21,1,2,0,0,970.6138194,0,2175.606871,0,558.0254,0,146.768649,114.932651
6/1/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/2/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/3/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/4/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/5/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/6/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/7/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/8/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/9/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/10/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/11/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/12/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/13/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/14/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/15/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/16/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/17/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/18/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/19/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/20/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/21/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/22/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/23/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/24/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/25/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/26/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/27/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/28/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/29/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
6/30/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
7/1/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
7/2/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
7/3/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
7/4/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
7/5/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
7/6/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
7/7/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
7/8/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
7/9/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
7/10/21,0.00311719,0.8,0.9,21,1,2,0,0,775.4072223,0,4703.518842,0,1280.126578,0,0,0
7/11/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/12/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/13/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/14/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/15/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/16/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/17/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/18/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/19/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/20/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/21/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/22/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/23/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/24/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/25/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/26/21,0.00311719,0.8,0.9,21,1,2,0,0,956.5776529,0,5802.474989,0,0,0,0,0
7/27/21,0.00311719,0.8,0.9,21,1,2,0,0,6759.052642,0,0,0,0,0,0,0
7/28/21,0.00311719,0.8,0.9,21,1,2,0,0,6759.052642,0,0,0,0,0,0,0
7/29/21,0.00311719,0.8,0.9,21,1,2,0,0,6759.052642,0,0,0,0,0,0,0
7/30/21,0.00311719,0.8,0.9,21,1,2,0,0,6759.052642,0,0,0,0,0,0,0
7/31/21,0.00311719,0.8,0.9,21,1,2,0,0,6759.052642,0,0,0,0,0,0,0
8/1/21,0.00311719,0.8,0.9,21,1,2,0,0,6759.052642,0,0,0,0,0,0,0
8/2/21,0.00311719,0.8,0.9,21,1,2,0,0,6759.052642,0,0,0,0,0,0,0
8/3/21,0.00311719,0.8,0.9,21,1,2,0,0,6759.052642,0,0,0,0,0,0,0
8/4/21,0.00311719,0.8,0.9,21,1,2,0,0,6759.052642,0,0,0,0,0,0,0
8/5/21,0.00311719,0.8,0.9,21,1,2,0,0,6759.052642,0,0,0,0,0,0,0
8/6/21,0.00311719,0.8,0.9,21,1,2,0,0,1000,0,0,0,0,0,0,0